id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_x,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_y,price_x2,price_y3,price_x4,price_y5,price_x6,price_y7,price_x8,price_y9,price_x10,price_y11,price_x12,price_y13,price_x14,price_y15
8530710,Bright Victorian Flat,31410120,Mandy,,Church-Yonge Corridor,43.66572,-79.38454,Shared room,51,1,0,,,1,0,50,50,50,51,50,50,50,50,50,50,50,50,50,50,50
32914224,Luxury fully furnished 2+1 condo Yonge & Sheppard,127470926,Sarvenaz,,Willowdale East,43.75777,-79.40318,Entire home/apt,200,3,12,2019-10-27,1.38,1,265,200,200,200,200,200,200,206,206,72,13,13,13,13,13,13
32914805,Sunburst Square,31129357,Jumaal King,,Malvern,43.79627,-79.23199,Private room,30,5,0,,,1,88,30,30,29,30,29,30,40,40,40,40,40,40,40,40,40
32914941,Pleasant Spacious 3 BDRM Downtown,171684607,Savitree,,South Parkdale,43.63674,-79.43069,Entire home/apt,180,1,1,2019-11-10,0.51,6,365,200,200,200,200,200,200,165,150,165,165,165,165,165,165,165
8534996,Beautiful spot.,44935357,Renee,,Tam O'Shanter-Sullivan,43.78125,-79.29587,Shared room,19,1,0,,,1,0,19,19,20,20,19,19,19,19,19,19,19,19,19,19,19
32921906,Beautiful Double Room at York U,92834120,Rukmini,,York University Heights,43.76706,-79.50016,Private room,45,2,17,2019-12-07,1.74,6,283,60,70,70,70,70,69,54,65,65,65,65,65,65,65,65
8535399,Condo @ Yonge & Eg,44937354,Ali,,Mount Pleasant West,43.70939,-79.39579,Entire home/apt,141,1,0,,,1,0,142,142,141,142,142,142,142,142,142,142,142,142,142,142,142
8536891,Spacious Apartment in Midtown,44944461,Sam,,Forest Hill South,43.68949,-79.41372,Entire home/apt,119,1,0,,,1,0,121,120,120,119,119,120,120,120,120,120,120,120,120,120,120
8539863,One bedroom apartment,44958334,Leandra,,Palmerston-Little Italy,43.65781,-79.42708,Entire home/apt,119,1,0,,,1,0,121,120,120,119,119,120,120,120,120,120,120,120,120,120,120
32931899,Bright and Beautiful in the Heart of Yorkville,94272203,Irina,,Annex,43.67059,-79.39395,Entire home/apt,149,1,52,2019-12-30,5.23,1,158,148,149,119,119,119,119,116,110,99,99,99,99,99,99,99
8540030,Central location near bloor+young,44939645,Johnathon,,North St.James Town,43.6691,-79.3791,Shared room,150,1,0,,,1,0,150,151,150,150,150,150,150,150,150,150,150,150,150,150,150
32933418,Super Cozy Queen Room in DT,93850966,Jessica,,Church-Yonge Corridor,43.66666,-79.38027,Private room,138,1,5,2019-06-06,0.53,6,40,138,138,139,138,138,138,91,91,91,91,91,91,91,91,91
8575910,great place to live,43111475,Justin,,Woodbine Corridor,43.68419,-79.31615,Shared room,99,1,0,,,1,0,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99
32938032,"Bright, Beautiful Room at York U",92834120,Rukmini,,York University Heights,43.76929,-79.49798,Private room,60,2,28,2019-12-13,3.01,6,292,60,75,75,75,75,75,70,70,70,70,70,70,70,70,70
8580971,5 STAR LIVING IN THE DOWNTOWN CORE,2733325,Arunabha,,Kensington-Chinatown,43.65226,-79.38745,Private room,350,1,0,,,1,0,350,349,350,350,350,351,350,350,350,350,350,350,350,350,350
8606440,Unique Luxurious Lakeside Loft,45279256,Stephen,,Niagara,43.63463,-79.40356,Entire home/apt,800,7,0,,,1,0,799,799,800,800,800,800,800,800,800,800,800,800,800,800,800
8609332,Central 1 bedroom apartment,4622991,Graeme,,Church-Yonge Corridor,43.67063,-79.38143,Entire home/apt,93,1,0,,,1,0,94,94,94,94,94,93,94,94,94,94,94,94,94,94,94
8670226,Spacious Luxury Condo Retreat,22414347,Jo,,Bayview Village,43.76542,-79.38353,Entire home/apt,125,30,0,,,1,0,125,126,125,125,125,125,125,125,125,125,125,125,125,125,125
8684070,Cool Pad in Toronto - Private Room,25822165,Ricardo,,Corso Italia-Davenport,43.68178,-79.4454,Private room,70,1,0,,,1,0,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
